Attrs.Name.Value,Attrs.Name Kana.Value,Attrs.Address.Value,Attrs.Latitude.Value,Attrs.Longitude.Value,Attrs.Telephone Number.Value,Attrs.City.Value,Attrs.City Code.Value,Attrs.Prefecture.Value,Attrs.Max Occupancy Capacity.Value
JA長崎県央中部集出荷場,JAナガサキケンオウチュウブシュウシュッカジョウ,長崎県大村市荒瀬町805-1,32.95055556,129.9683333,0957-54-8010,大村市,422053,長崎県,想定なし
あがたの里,アガタノサト,上県町佐須奈甲565-2,34.6379817,129.3978569,0920-84-2340,対馬市,422096,長崎県,142
あさひが丘運動公園,アサヒガオカウンドウコウエン,長崎県長崎市琴海大平町1794-123付近,32.958447,129.788684,,長崎市,422011,長崎県,
あじさい公園,アジサイコウエン,長崎県長崎市豊洋台1-4,32.832659,129.789639,,長崎市,422011,長崎県,
ありあけ会館,アリアケカイカン,厳原町久田53,34.18700266,129.2809801,0920-52-8161,対馬市,422096,長崎県,149
ありえコレジヨホール,アリエコレジヨホール,有家町山川131番地1,32.66351019,130.3067787,,南島原市,422142,長崎県,664
アルカディア記念公園,アルカディアキネンコウエン,長崎県大村市雄ケ原町147-34,32.9425,129.9838889,0957-53-4111,大村市,422053,長崎県,想定なし
あんのん,アンノン,長崎県平戸市戸石川町950,33.36150918,129.5495977,0950-23-8815,平戸市,422070,長崎県,
いいもりコミュニティ会館,イイモリコミュニティカイカン,長崎県諫早市飯盛町開1677-1,32.77731947,130.0214372,%280957%2948-1300,諫早市,422045,長崎県,450人%282平方ﾒｰﾄﾙあたり1人%29
いこい運動公園,イコイウンドウコウエン,長崎県西彼杵郡時津町左底郷462-2,32.831302,129.8353,,時津町,423084,長崎県,
いちょう公園,イチョウコウエン,長崎県長崎市小江原2-23,32.778280,129.841050,,長崎市,422011,長崎県,1230
エビスが丘中央公園,エビスガオカチュウオウコウエン,長崎県佐世保市宇久町平2253,33.26830719,129.1308124,0956-24-1111,佐世保市,422029,長崎県,8000
エミネント葉山中央公園,エミネントハヤマチュウオウコウエン,長崎県長崎市エミネント葉山町8,32.801502,129.844790,,長崎市,422011,長崎県,2164
おおぞら公園,オオゾラコウエン,長崎県長崎市城山台2-16,32.776382,129.840532,,長崎市,422011,長崎県,2997
おたけ公園,オタケコウエン,長崎県長崎市女の都2-26,32.802600,129.880548,,長崎市,422011,長崎県,3970
おひさま公園,オヒサマコウエン,長崎県長崎市戸石町366-11,32.765959,129.970790,,長崎市,422011,長崎県,9384
おりおん座公園,オリオンザコウエン,長崎県長崎市ダイヤランド3-36,32.701292,129.851756,,長崎市,422011,長崎県,12860
かめ焼公園,カメヤキコウエン,長崎県長崎市花園町19,32.772437,129.850193,,長崎市,422011,長崎県,1054
くつろぎ公園,クツロギコウエン,長崎県長崎市戸石町500-483付近,32.769638,129.972797,,長崎市,422011,長崎県,2234
クリーンセンター,クリーンセンター,長崎県北松浦郡佐々町小浦免1163-20,33.210852,129.650023,%280956%2962-3512,佐々町,423912,長崎県,
クリーンパーク長与,クリーンパークナガヨ,長崎県西彼杵郡長与町斉藤郷1073,32.845542,129.859848,,長与町,423076,長崎県,166
けち中学校,ケチチュウガッコウ,美津島町けち甲550-7,34.26831793,129.3105036,0920-54-2032,対馬市,422096,長崎県,238
けち中学校体育館,ケチチュウガッコウタイイクカン,美津島町けち甲550-7,34.26782976,129.310196,,対馬市,422096,長崎県,319
けやき台公園,ケヤキダイコウエン,長崎県長崎市けやき台町12,32.797178,129.879584,,長崎市,422011,長崎県,
さくらの里中央公園,サクラノサトチュウオウコウエン,長崎県長崎市さくらの里2-13,32.831959,129.767682,,長崎市,422011,長崎県,
さくらの里東公園,サクラノサトヒガシコウエン,長崎県長崎市さくらの里2-10,32.831401,129.769629,,長崎市,422011,長崎県,
さくらの里第1公園,サクラノサトダイイチコウエン,長崎県長崎市さくらの里1-21,32.832674,129.770985,,長崎市,422011,長崎県,
さくらの里第2公園,サクラノサトダイニコウエン,長崎県長崎市さくらの里2-4,32.831902,129.765296,,長崎市,422011,長崎県,
さくらの里第3公園,サクラノサトダイサンコウエン,長崎県長崎市さくらの里2-29,32.831312,129.762739,,長崎市,422011,長崎県,
さくらの里西公園,サクラノサトニシコウエン,長崎県長崎市さくらの里2-19,32.830788,129.765654,,長崎市,422011,長崎県,
さくらばば公園,サクラババコウエン,平戸市戸石川町485,33.36338513,129.550162,0950-22-4127,平戸市,422070,長崎県,
さくら坂公園,サクラザカコウエン,長崎県長崎市新戸町4-13,32.709865,129.872146,,長崎市,422011,長崎県,
さざなみの丘公園,サザナミノオカコウエン,長崎県長崎市琴海大平町2076付近,32.951146,129.787709,,長崎市,422011,長崎県,
サン・ビレッジさざ,サン・ビレッジサザ,長崎県北松浦郡佐々町小浦免41-3,33.221416,129.639927,%280956%2962-3338,佐々町,423912,長崎県,
サンスポーツランドあづま,サンスポーツランドアヅマ,長崎県雲仙市吾妻町川床名布江名541,32.82586445,130.199904,,雲仙市,422134,長崎県,4360
しおさい公園,シオサイコウエン,長崎県長崎市戸石町500-121付近,32.766065,129.972459,,長崎市,422011,長崎県,3037
ｼｬｲﾝﾄﾞｰﾑみね,シャインドームミネ,峰町三根353,34.46503083,129.3154279,0920-83-0888,対馬市,422096,長崎県,806
そとめ神浦川河川公園,ソトメコウノウラガワカセンコウエン,長崎県長崎市神浦向町822,32.877378,129.689409,,長崎市,422011,長崎県,
そのぎシーサイド公園,ソノギシーサイドコウエン,東彼杵町蔵本郷1609-21,33.04,129.9054,,東彼杵町,423211,長崎県,
そらの夢公園,ソノラノユメコウエン,長崎県長崎市小江原5-9,32.779863,129.824137,,長崎市,422011,長崎県,
たびら昆虫自然園,タビラコンチュウシゼンエン,長崎県平戸市田平町荻田免1628-4,33.33974136,129.5829371,0950-57-3104,平戸市,422070,長崎県,
たびら活性化施設,タビラカッセイカシセツ,長崎県平戸市田平町里免27-1,33.35966432,129.58796,0950-57-1041,平戸市,422070,長崎県,
たらみ図書館,タラミトショカン,長崎県諫早市多良見町木床2002,32.83805556,129.9816667,%280957%2943-4611,諫早市,422045,長崎県,688人%282平方ﾒｰﾄﾙあたり1人%29
つつじが丘中央公園,ツツジガオカチュウオウコウエン,長崎県長崎市つつじが丘3-6,32.807988,129.959954,,長崎市,422011,長崎県,670
テクノパーク第一公園,テクノパークダイイチコウエン,長崎県佐世保市三川内新町1-20外,33.13942246,129.8425474,0956-24-1111,佐世保市,422029,長崎県,4650
とぎつカナリーホール,トギツカナリーホール,長崎県西彼杵郡時津町野田郷62,32.824812,129.84601,%28095%29882-0003,時津町,423084,長崎県,770人（1平方メートルあたり1人）
とぎつ海と緑の運動公園,トギツウミトミドリノウンドウコウエン,長崎県西彼杵郡時津町日並郷3765,32.848825,129.83355,,時津町,423084,長崎県,
ときわ台小学校体育館,トキワダイショウガッコウタイイクカン,長崎県西海市西彼町下岳郷2118,32.996555,129.781555,%280959%2937-0077,西海市,422126,長崎県,370
ときわ台小学校運動場,トキワダイショウガッコウウンドウジョウ,長崎県西海市西彼町下岳郷2118,32.996123,129.781585,%280959%2937-0077,西海市,422126,長崎県,"1,850"
とけん山公園,トケンヤマコウエン,長崎県雲仙市小浜町南本町1094,32.72564515,130.2120596,,雲仙市,422134,長崎県,100
どんの山公園,ドンノヤマコウエン,長崎県長崎市元町13,32.732826,129.878028,,長崎市,422011,長崎県,5971
ながさき西海農業協同組合大島支店,ナガサキサイカイノウギョウキョウドウクミアイオオシマシテン,長崎県平戸市大島村神浦188-1,33.47807239,129.5568165,0950-55-2541,平戸市,422070,長崎県,175
なごみ公園,ナゴミコウエン,長崎県西彼杵郡長与町吉無田郷879-144,32.809411,129.879583,,長与町,423076,長崎県,2940
にじの夢公園,ニジノユメコウエン,長崎県長崎市小江原5-17,32.778287,129.824031,,長崎市,422011,長崎県,
ニュータウン中央公園,ニュータウンチュウオウコウエン,長崎県西彼杵郡長与町三根郷53-99,32.8161,129.892111,,長与町,423076,長崎県,1897
